,id,name_x,name_y,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,schooling
0,AFG,Afghanistan,Afghanistan,2013,Developing,59.9,268,66,0.01,73.21924272,64,430,21.6,89,62,8.13,64,0.1,631.744976,29121286,17.7,17.7,0.47,9.9
1,ALB,Albania,Albania,2013,Developing,77.2,84,0,4.76,430.8769785,99,0,26.1,1,99,5.66,99,0.1,4414.72314,3659616,1.3,1.4,0.759,14.2
2,DZA,Algeria,Algeria,2013,Developing,75.3,112,21,0.53,544.4507432,95,25,26.2,24,95,7.12,95,0.1,5471.866766,34586184,5.9,5.8,0.737,14.4
3,AGO,Angola,Angola,2013,Developing,51.1,355,69,8.1,35.95857279,77,8523,24.1,105,67,4.26,77,2.3,484.616884,13068161,8.6,8.5,0.523,11.4
4,197,Antigua and Barbuda,Antigua and Barbuda,2013,Developing,76.1,133,0,8.58,1991.430372,99,0,28.1,0,98,5.33,99,0.2,12224.86416,91510,3.3,3.3,0.781,13.9
5,ARG,Argentina,Argentina,2013,Developing,76,119,8,8.28,1001.796332,94,0,27.7,10,99,4.99,94,0.1,12976.63642,41343201,1,0.9,0.823,17.3
6,ARM,Armenia,Armenia,2013,Developing,74.4,123,1,3.79,279.4290812,95,10,26.7,1,96,4.55,95,0.1,3843.591213,2966802,2.1,2.1,0.736,12.7
7,AUS,Australia,Australia,2013,Developed,82.5,61,1,9.87,11734.85381,91,158,27.2,1,91,9.36,91,0.1,67792.3386,21515754,0.6,0.6,0.933,20.3
8,AUT,Austria,Austria,2013,Developed,81.1,68,0,11.82,90.58501176,95,0,25.4,0,95,11.14,95,0.1,554.71532,8214160,1.8,2,0.887,15.7
9,AZE,Azerbaijan,Azerbaijan,2013,Developing,72.2,121,5,2.14,275.6514934,93,164,27.4,6,96,5.54,93,0.1,7875.756953,8303512,2.8,2.8,0.745,11.9
10,BHS,"Bahamas, The",Bahamas,2013,Developing,74.8,172,0,9.42,0,97,0,28.8,0,97,7.5,97,0.1,28784,310426,2.5,2.5,0.79,12.6
11,163,Bahrain,Bahrain,2013,Developing,76.7,7,0,1.65,3.968695982,99,0,28.2,0,99,4.69,99,0.1,251.18329,1315000,6.1,6,0.815,14.5
12,BGD,Bangladesh,Bangladesh,2013,Developing,71,135,104,0.01,52.82986467,96,237,21,130,96,2.88,96,0.1,951.8894535,158065841,18.3,18.8,0.565,10
13,180,Barbados,Barbados,2013,Developing,75.2,11,0,8.74,263.0372838,91,0,28.7,0,91,7.57,91,0.1,15472.7814,284294,3.8,3.8,0.792,15.3
14,BLR,Belarus,Belarus,2013,Developing,71.7,23,0,14.66,1109.854619,98,16,26.6,1,98,6.7,98,0.1,7978.825443,9612632,2,2,0.796,15.7
15,BEL,Belgium,Belgium,2013,Developed,87,77,0,11.77,702.359357,98,39,25.5,1,99,1.57,99,0.1,4651.38647,10423493,1,0.9,0.889,16.3
16,BLZ,Belize,Belize,2013,Developing,69.8,18,0,6.56,629.2018591,95,0,28.9,0,95,5.79,95,0.2,4688.538443,314522,3.4,3.4,0.706,12.9
17,BEN,Benin,Benin,2013,Developing,59.5,251,25,0.01,87.4080423,77,637,23.4,39,73,4.59,77,1.2,915.2674586,9056010,7.2,7.1,0.466,10.3
18,BTN,Bhutan,Bhutan,2013,Developing,69.1,219,0,0.01,19.79057439,97,0,23.8,1,97,3.83,97,0.6,235.882889,699847,15.9,16.5,0.589,12.6
19,BOL,Bolivia,Bolivia (Plurinational State of),2013,Developing,71,192,8,3.78,0,94,0,25.9,10,95,5.96,94,0.1,2908,9947418,1.2,1.1,0.661,13.8
20,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2013,Developing,77,9,0,4.12,75.61062911,91,0,26.1,0,87,9.46,89,0.1,535.86555,4621598,2.4,2.4,0.735,14.2
21,BWA,Botswana,Botswana,2013,Developing,64.2,286,2,0.01,1.117811275,95,1,24.7,2,96,5.84,95,2.8,77.625783,2029307,7,6.7,0.693,12.6
22,BRA,Brazil,Brazil,2013,Developing,74.7,146,46,7.24,916.270845,96,220,25.9,52,96,8.48,97,0.1,12216.9446,201103330,2.8,2.7,0.734,14.2
23,BRN,Brunei,Brunei Darussalam,2013,Developing,77.1,84,0,0.01,2845.306444,98,0,26.2,0,99,2.61,99,0.1,44597.27968,395027,5.8,5.2,0.86,14.9
24,BGR,Bulgaria,Bulgaria,2013,Developed,74.1,14,1,12.06,149.659879,95,14,26,1,95,7.93,95,0.1,7674.86559,7148785,1.9,1.9,0.781,14.4
25,BFA,Burkina Faso,Burkina Faso,2013,Developing,59,27,40,4.64,88.97040214,88,375,22.1,66,89,5.91,88,0.7,699.452847,16241811,8.4,7.9,0.392,7.5
